"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","339.17","1431","204.68","1323","I feel bad for these guys -->","165"
"Alaska","291.47","333","261.38","428","I feel bad for these guys -->","35"
"Arizona","300.35","2456","210.7","2213","I feel bad for these guys -->","292"
"Arkansas","345.2","783","180.25","751","I feel bad for these guys -->","138"
"California","244.96","15508","190.91","17495","I feel bad for these guys -->","1005"
"Colorado","237.58","2921","196.94","2560","I feel bad for these guys -->","169"
"Connecticut","340.76","1691","270.95","1839","I feel bad for these guys -->","114"
"Delaware","365.27","462","233.2","400","I feel bad for these guys -->","39"
"District of Columbia","350.56","608","288.39","519","I feel bad for these guys -->","48"
"Florida","301.93","8768","217.97","7490","I feel bad for these guys -->","653"
"Georgia","326.6","4130","217.46","3153","I feel bad for these guys -->","287"
"Hawaii","310.47","423","268.39","478","I feel bad for these guys -->","29"
"Idaho","275.5","407","247.63","613","I feel bad for these guys -->","34"
"Illinois","356.21","5251","283.08","5053","I feel bad for these guys -->","420"
"Indiana","332.66","2224","213.85","2053","I feel bad for these guys -->","311"
"Iowa","365.25","904","288.51","931","I feel bad for these guys -->","114"
"Kansas","350.74","1086","262.74","908","I feel bad for these guys -->","130"
"Kentucky","338.83","1377","174.04","1369","I feel bad for these guys -->","170"
"Louisiana","365.32","1421","243.76","1239","I feel bad for these guys -->","299"
"Maine","314.77","571","244.06","603","I feel bad for these guys -->","59"
"Montana","265.99","703","250.51","345","I feel bad for these guys -->","30"
"Nebraska","340.33","658","248.83","665","I feel bad for these guys -->","74"
"Nevada","267.95","1151","229.73","1301","I feel bad for these guys -->","76"
"New Hampshire","356.55","553","290.94","605","I feel bad for these guys -->","49"
"New Jersey","348.5","2864","287.71","3829","I feel bad for these guys -->","241"
"New Mexico","288.21","735","203.3","599","I feel bad for these guys -->","59"
"New York","346.41","7345","264.76","7985","I feel bad for these guys -->","584"
"North Carolina","347.72","3773","245.36","2747","I feel bad for these guys -->","291"
"North Dakota","394.68","195","346.41","290","I feel bad for these guys -->","22"
"Ohio","334.35","3950","218.29","3933","I feel bad for these guys -->","514"
"Oklahoma","364.32","1002","234.11","971","I feel bad for these guys -->","178"
"Oregon","207.94","2045","182.09","1817","I feel bad for these guys -->","85"
"Maryland","369.37","2636","253.23","2236","I feel bad for these guys -->","186"
"Massachusetts","349.26","3764","288.47","3440","I feel bad for these guys -->","274"
"Michigan","290.61","3792","273.14","3414","I feel bad for these guys -->","279"
"Minnesota","354.18","2195","275.79","2230","I feel bad for these guys -->","118"
"Mississippi","337.09","564","145.96","498","I feel bad for these guys -->","134"
"Missouri","357.68","2067","245.87","1923","I feel bad for these guys -->","279"
"Pennsylvania","364.94","5134","268.51","4504","I feel bad for these guys -->","478"
"Rhode Island","319.76","671","258.19","490","I feel bad for these guys -->","43"
"South Carolina","340.8","1556","203.25","1270","I feel bad for these guys -->","156"
"South Dakota","376.71","206","348.54","233","I feel bad for these guys -->","25"
"Tennessee","351.61","2072","226.57","1717","I feel bad for these guys -->","203"
"Texas","336.79","7686","232.5","7826","I feel bad for these guys -->","1091"
"Utah","287.57","891","238.03","970","I feel bad for these guys -->","58"
"Vermont","374.09","336","313.07","335","I feel bad for these guys -->","29"
"Virginia","366.69","3239","292.18","2801","I feel bad for these guys -->","263"
"Washington","233.23","3108","189.32","3258","I feel bad for these guys -->","145"
"West Virginia","354.6","511","217.07","498","I feel bad for these guys -->","57"
"Wisconsin","352.41","2085","272.82","1992","I feel bad for these guys -->","154"
"Wyoming","328.51","119","355.57","175","I feel bad for these guys -->","12"
