"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","340.6","1402","204.64","1271","I feel bad for these guys -->","161"
"Alaska","289.81","327","262.12","413","I feel bad for these guys -->","33"
"Arizona","300.45","2421","209.35","2152","I feel bad for these guys -->","283"
"Arkansas","346.86","764","180.05","731","I feel bad for these guys -->","135"
"California","245.14","15213","191.43","17019","I feel bad for these guys -->","995"
"Colorado","238.41","2856","197.12","2475","I feel bad for these guys -->","168"
"Connecticut","341.13","1640","271.56","1770","I feel bad for these guys -->","107"
"Delaware","365.7","450","230.27","380","I feel bad for these guys -->","39"
"District of Columbia","348.73","584","288.85","498","I feel bad for these guys -->","47"
"Florida","302.76","8550","217.62","7244","I feel bad for these guys -->","640"
"Georgia","326.6","4034","216.75","3071","I feel bad for these guys -->","282"
"Hawaii","310","417","267.17","467","I feel bad for these guys -->","29"
"Idaho","277.06","396","248.98","591","I feel bad for these guys -->","32"
"Illinois","356.01","5120","283.14","4856","I feel bad for these guys -->","412"
"Indiana","333.04","2161","211.75","1987","I feel bad for these guys -->","302"
"Iowa","366.04","881","289.21","905","I feel bad for these guys -->","112"
"Kansas","351.36","1065","261.67","884","I feel bad for these guys -->","130"
"Kentucky","338.05","1340","183.52","1327","I feel bad for these guys -->","167"
"Louisiana","366.49","1391","244.73","1206","I feel bad for these guys -->","293"
"Maine","315.71","564","254.23","578","I feel bad for these guys -->","59"
"Montana","266.79","687","251.1","339","I feel bad for these guys -->","30"
"Nebraska","340.27","643","251.05","644","I feel bad for these guys -->","73"
"Nevada","268.07","1126","229.31","1267","I feel bad for these guys -->","76"
"New Hampshire","356.7","540","291.41","589","I feel bad for these guys -->","46"
"New Jersey","348.59","2798","287.96","3716","I feel bad for these guys -->","238"
"New Mexico","289.21","712","201.19","577","I feel bad for these guys -->","58"
"New York","346.04","7180","265.17","7753","I feel bad for these guys -->","575"
"North Carolina","349.12","3666","246.08","2660","I feel bad for these guys -->","285"
"North Dakota","405.46","186","362.95","274","I feel bad for these guys -->","21"
"Ohio","334.49","3864","217.56","3823","I feel bad for these guys -->","503"
"Oklahoma","363.26","965","232.94","940","I feel bad for these guys -->","175"
"Oregon","208.35","2002","183.29","1762","I feel bad for these guys -->","85"
"Maryland","370.5","2575","252.28","2156","I feel bad for these guys -->","181"
"Massachusetts","350.15","3688","288.42","3315","I feel bad for these guys -->","270"
"Michigan","291.06","3714","274.33","3334","I feel bad for these guys -->","274"
"Minnesota","354.99","2165","276.11","2156","I feel bad for these guys -->","115"
"Mississippi","336.98","547","146.44","480","I feel bad for these guys -->","131"
"Missouri","357.91","2013","245.97","1848","I feel bad for these guys -->","274"
"Pennsylvania","366.03","5010","267.86","4379","I feel bad for these guys -->","469"
"Rhode Island","321.22","658","258.25","476","I feel bad for these guys -->","42"
"South Carolina","342","1512","202.36","1240","I feel bad for these guys -->","152"
"South Dakota","376.44","197","348.33","228","I feel bad for these guys -->","22"
"Tennessee","352.82","2026","225.81","1669","I feel bad for these guys -->","198"
"Texas","336.83","7548","232.34","7638","I feel bad for these guys -->","1067"
"Utah","287.43","873","238.57","931","I feel bad for these guys -->","57"
"Vermont","374.86","333","317.28","320","I feel bad for these guys -->","28"
"Virginia","366.77","3156","291.66","2716","I feel bad for these guys -->","257"
"Washington","232.78","3026","189.77","3164","I feel bad for these guys -->","144"
"West Virginia","354.47","497","215.8","487","I feel bad for these guys -->","55"
"Wisconsin","352.93","2027","271.67","1919","I feel bad for these guys -->","149"
"Wyoming","330.41","117","356.25","170","I feel bad for these guys -->","12"
